Starting to parse extensions...
  [SUCCESS] Found 'device' extension 'VK_EXT_depth_range_unrestricted'!
  [SUCCESS] Found 'device' extension 'VK_KHR_external_memory_win32'!
  [SUCCESS] Found 'device' extension 'VK_EXT_separate_stencil_usage'!
  [SUCCESS] Found 'instance' extension 'VK_KHR_get_display_properties2'!
  [SUCCESS] Found 'instance' extension 'VK_KHR_surface'!
  [SUCCESS] Found 'instance' extension 'VK_EXT_direct_mode_display'!
  [SUCCESS] Found 'device' extension 'VK_KHR_display_swapchain'!
  [SUCCESS] Found 'device' extension 'VK_EXT_border_color_swizzle'!
  [SUCCESS] Found 'device' extension 'VK_KHR_swapchain'!
  [SUCCESS] Found 'device' extension 'VK_EXT_shader_subgroup_vote'!
  [SUCCESS] Found 'instance' extension 'VK_KHR_display'!
  [SUCCESS] Found 'device' extension 'VK_KHR_maintenance1'!
  [SUCCESS] Found 'device' extension 'VK_EXT_sampler_filter_minmax'!
  [SUCCESS] Found 'device' extension 'VK_KHR_descriptor_update_template'!
  [SUCCESS] Found 'instance' extension 'VK_KHR_win32_surface'!
  [SUCCESS] Found 'instance' extension 'VK_KHR_xlib_surface'!
  [SUCCESS] Found 'instance' extension 'VK_EXT_debug_report'!
  [SUCCESS] Found 'device' extension 'VK_EXT_depth_bias_control'!
  [SUCCESS] Found 'device' extension 'VK_KHR_sampler_mirror_clamp_to_edge'!
  [SUCCESS] Found 'device' extension 'VK_EXT_transform_feedback'!
  [SUCCESS] Found 'device' extension 'VK_EXT_depth_clip_enable'!
    Skipped extension 'VK_KHR_video_encode_h264' because Vulkan 1.2 does not have extension 'VK_KHR_video_encode_queue'!
  [SUCCESS] Found 'instance' extension 'VK_KHR_portability_enumeration'!
    Skipped extension 'VK_KHR_video_encode_h265' because Vulkan 1.2 does not have extension 'VK_KHR_video_encode_queue'!
    Skipped extension 'VK_KHR_video_decode_h264' because Vulkan 1.2 does not have extension 'VK_KHR_video_decode_queue'!
  [SUCCESS] Found 'device' extension 'VK_EXT_astc_decode_mode'!
  [SUCCESS] Found 'device' extension 'VK_KHR_multiview'!
  [SUCCESS] Found 'device' extension 'VK_EXT_rasterization_order_attachment_access'!
  [SUCCESS] Found 'instance' extension 'VK_KHR_get_physical_device_properties2'!
  [SUCCESS] Found 'device' extension 'VK_KHR_device_group'!
  [SUCCESS] Found 'instance' extension 'VK_KHR_get_surface_capabilities2'!
